3,1-Jan,1.028354996
3,2-Jan,1.497004207
3,3-Jan,2.159817587
3,4-Jan,2.029261698
3,5-Jan,1.448592774
3,6-Jan,2.186828552
3,7-Jan,1.915365538
3,8-Jan,2.348233499
3,9-Jan,1.397131406
3,10-Jan,1.623669664
3,11-Jan,2.23535004
3,12-Jan,2.486499582
3,13-Jan,1.666021358
3,14-Jan,1.93102808
3,15-Jan,1.603611098
3,16-Jan,1.547841498
3,17-Jan,2.530247184
3,18-Jan,1.96854674
3,19-Jan,1.238942324
3,20-Jan,2.532056452
3,21-Jan,2.601268364
3,22-Jan,1.63830762
3,23-Jan,2.203883792
3,24-Jan,1.636541613
3,25-Jan,1.248497981
3,26-Jan,2.369813135
3,27-Jan,2.214618567
3,28-Jan,1.378211346
3,29-Jan,2.10778946
3,30-Jan,2.204543222
