panid,date,kwh
1,2015-01-01 00:00:00-05:00,0.3800446307729848
1,2015-01-01 00:30:00-05:00,0.6735350379345583
1,2015-01-01 01:00:00-05:00,0.6621354830133618
1,2015-01-01 01:30:00-05:00,1.5930420387071795
1,2015-01-01 02:00:00-05:00,2.5420127442824256
1,2015-01-01 02:30:00-05:00,0.8740423124101747
1,2015-01-01 03:00:00-05:00,1.981302297665746
1,2015-01-01 03:30:00-05:00,1.4742946337308136
1,2015-01-01 04:00:00-05:00,1.6608486573852008
1,2015-01-01 04:30:00-05:00,2.0088604809061756
1,2015-01-01 05:00:00-05:00,0.10539024823313267
1,2015-01-01 05:30:00-05:00,0.466410741501119
1,2015-01-01 06:00:00-05:00,3.2972485150668422
1,2015-01-01 06:30:00-05:00,0.1894000982236596
1,2015-01-01 07:00:00-05:00,2.7491214807397797
1,2015-01-01 07:30:00-05:00,1.3422278875516405
1,2015-01-01 08:00:00-05:00,2.7014927110569014
1,2015-01-01 08:30:00-05:00,1.997984790561032
1,2015-01-01 09:00:00-05:00,1.2403571631408419
1,2015-01-01 09:30:00-05:00,0.9096745122648436
1,2015-01-01 10:00:00-05:00,0.8718703241776873
1,2015-01-01 10:30:00-05:00,1.0317427667607784
1,2015-01-01 11:00:00-05:00,1.2509542602606494
1,2015-01-01 11:30:00-05:00,1.6161467319899039
1,2015-01-01 12:00:00-05:00,3.0097628468893163
1,2015-01-01 12:30:00-05:00,3.193456389565103
1,2015-01-01 13:00:00-05:00,2.5644460260444415
1,2015-01-01 13:30:00-05:00,3.299219937563349
1,2015-01-01 14:00:00-05:00,1.042419884211296
1,2015-01-01 14:30:00-05:00,0.7587795750315582
1,2015-01-01 15:00:00-05:00,1.0850778090440876
1,2015-01-01 15:30:00-05:00,2.0284018562161727
1,2015-01-01 16:00:00-05:00,2.3412921112269367
1,2015-01-01 16:30:00-05:00,2.8230386617085683
1,2015-01-01 17:00:00-05:00,1.2807987227664643
1,2015-01-01 17:30:00-05:00,0.596722784202331
1,2015-01-01 18:00:00-05:00,1.933170379317113
1,2015-01-01 18:30:00-05:00,2.424541901798905
1,2015-01-01 19:00:00-05:00,4.073141391826336
1,2015-01-01 19:30:00-05:00,1.3779006363499737
1,2015-01-01 20:00:00-05:00,1.7491621446177388
1,2015-01-01 20:30:00-05:00,1.666567356934591
1,2015-01-01 21:00:00-05:00,1.549330372900922
1,2015-01-01 21:30:00-05:00,0.8445500196180927
1,2015-01-01 22:00:00-05:00,1.0106584617420091
1,2015-01-01 22:30:00-05:00,1.065968454892811
1,2015-01-01 23:00:00-05:00,2.4476276081139146
1,2015-01-01 23:30:00-05:00,0.19307180014792955
1,2015-01-02 00:00:00-05:00,2.9773767272404768
1,2015-01-02 00:30:00-05:00,0.15783850182629838
1,2015-01-02 01:00:00-05:00,1.1147364478823372
1,2015-01-02 01:30:00-05:00,0.6871485220065972
1,2015-01-02 02:00:00-05:00,1.3315339006795086
1,2015-01-02 02:30:00-05:00,3.250510394985321
1,2015-01-02 03:00:00-05:00,3.453720416684436
1,2015-01-02 03:30:00-05:00,1.150776105519789
1,2015-01-02 04:00:00-05:00,2.501837832004905
1,2015-01-02 04:30:00-05:00,1.0724667965876398
1,2015-01-02 05:00:00-05:00,3.072547787625954
1,2015-01-02 05:30:00-05:00,1.7529866493040627
1,2015-01-02 06:00:00-05:00,1.5008378099478012
1,2015-01-02 06:30:00-05:00,2.067325158558199
1,2015-01-02 07:00:00-05:00,1.3564623275667262
1,2015-01-02 07:30:00-05:00,2.8880147903333206
1,2015-01-02 08:00:00-05:00,3.035138771268474
1,2015-01-02 08:30:00-05:00,2.4259091847538965
1,2015-01-02 09:00:00-05:00,3.067563359362438
1,2015-01-02 09:30:00-05:00,1.1191426752930524
1,2015-01-02 10:00:00-05:00,0.7721239067869969
1,2015-01-02 10:30:00-05:00,1.761897894380452
1,2015-01-02 11:00:00-05:00,1.8734082386580644
1,2015-01-02 11:30:00-05:00,2.8886323722075664
1,2015-01-02 12:00:00-05:00,1.2997103085516666
1,2015-01-02 12:30:00-05:00,1.756619786816339
1,2015-01-02 13:00:00-05:00,0.7846255140932394
1,2015-01-02 13:30:00-05:00,2.803798063303402
1,2015-01-02 14:00:00-05:00,1.5438175706712443
1,2015-01-02 14:30:00-05:00,0.22063150510008986
1,2015-01-02 15:00:00-05:00,2.498851378186599
1,2015-01-02 15:30:00-05:00,0.21599145383787122
1,2015-01-02 16:00:00-05:00,2.5204032314499667
1,2015-01-02 16:30:00-05:00,1.3472541941510205
1,2015-01-02 17:00:00-05:00,4.344904606087815
1,2015-01-02 17:30:00-05:00,2.4433494422788513
1,2015-01-02 18:00:00-05:00,1.0210320751024908
1,2015-01-02 18:30:00-05:00,0.8466482535863045
1,2015-01-02 19:00:00-05:00,0.40714131195016273
1,2015-01-02 19:30:00-05:00,2.2758423202177975
1,2015-01-02 20:00:00-05:00,1.1344780889920965
1,2015-01-02 20:30:00-05:00,1.318148805661557
1,2015-01-02 21:00:00-05:00,2.6674288044785404
1,2015-01-02 21:30:00-05:00,1.8062046004698116
1,2015-01-02 22:00:00-05:00,2.48542745437103
1,2015-01-02 22:30:00-05:00,1.2184964973771966
1,2015-01-02 23:00:00-05:00,1.8763398459931255
1,2015-01-02 23:30:00-05:00,2.5221600877587793
1,2015-01-03 00:00:00-05:00,0.16666244933969238
1,2015-01-03 00:30:00-05:00,2.778966516819452
1,2015-01-03 01:00:00-05:00,1.6441979396329205
1,2015-01-03 01:30:00-05:00,1.9324433813416986
1,2015-01-03 02:00:00-05:00,1.8547111421672977
1,2015-01-03 02:30:00-05:00,1.4740741946502065
1,2015-01-03 03:00:00-05:00,0.48355370301957973
1,2015-01-03 03:30:00-05:00,0.9515279760152767
1,2015-01-03 04:00:00-05:00,2.474183766418862
1,2015-01-03 04:30:00-05:00,2.901151096292243
1,2015-01-03 05:00:00-05:00,2.1315484189543326
1,2015-01-03 05:30:00-05:00,0.6181635938810679
1,2015-01-03 06:00:00-05:00,1.022332730558006
1,2015-01-03 06:30:00-05:00,1.5994188928187096
1,2015-01-03 07:00:00-05:00,3.7610510491379356
1,2015-01-03 07:30:00-05:00,0.9635410533541515
1,2015-01-03 08:00:00-05:00,2.4796597796135225
1,2015-01-03 08:30:00-05:00,2.482092485370495
1,2015-01-03 09:00:00-05:00,1.2233431613406538
1,2015-01-03 09:30:00-05:00,1.9827783560503653
1,2015-01-03 10:00:00-05:00,1.1133836898640312
1,2015-01-03 10:30:00-05:00,2.243682103683763
1,2015-01-03 11:00:00-05:00,0.7365880662128623
1,2015-01-03 11:30:00-05:00,2.6571334654571546
1,2015-01-03 12:00:00-05:00,2.2472847108527567
1,2015-01-03 12:30:00-05:00,1.1072617361086232
1,2015-01-03 13:00:00-05:00,1.7783669960715118
1,2015-01-03 13:30:00-05:00,2.114194408664671
1,2015-01-03 14:00:00-05:00,1.1327296040263661
1,2015-01-03 14:30:00-05:00,1.8660619496423638
1,2015-01-03 15:00:00-05:00,1.3314714870590827
1,2015-01-03 15:30:00-05:00,2.5630659886941896
1,2015-01-03 16:00:00-05:00,3.7651954445066114
1,2015-01-03 16:30:00-05:00,1.313787573118642
1,2015-01-03 17:00:00-05:00,0.9235997424692778
1,2015-01-03 17:30:00-05:00,0.3913704804214978
1,2015-01-03 18:00:00-05:00,1.4759266238910285
1,2015-01-03 18:30:00-05:00,0.7948397193669955
1,2015-01-03 19:00:00-05:00,2.399381567306165
1,2015-01-03 19:30:00-05:00,1.528058168454844
1,2015-01-03 20:00:00-05:00,1.3063565035304818
1,2015-01-03 20:30:00-05:00,1.4129502585494715
1,2015-01-03 21:00:00-05:00,0.6143340852579431
1,2015-01-03 21:30:00-05:00,2.137702915591129
1,2015-01-03 22:00:00-05:00,1.0050701410518228
1,2015-01-03 22:30:00-05:00,2.719696382961416
1,2015-01-03 23:00:00-05:00,0.2773251378410708
1,2015-01-03 23:30:00-05:00,2.135852817627983
1,2015-01-04 00:00:00-05:00,1.173794426753876
1,2015-01-04 00:30:00-05:00,0.5117818646066997
1,2015-01-04 01:00:00-05:00,1.22234190587907
1,2015-01-04 01:30:00-05:00,2.0345455063742017
1,2015-01-04 02:00:00-05:00,1.7922400076506566
1,2015-01-04 02:30:00-05:00,1.9196414584892696
1,2015-01-04 03:00:00-05:00,1.965095267397455
1,2015-01-04 03:30:00-05:00,1.8345806925613495
1,2015-01-04 04:00:00-05:00,1.400646781582664
1,2015-01-04 04:30:00-05:00,0.5859996386229913
1,2015-01-04 05:00:00-05:00,1.835227430414147
1,2015-01-04 05:30:00-05:00,1.0857182634091016
1,2015-01-04 06:00:00-05:00,0.35384787521327116
1,2015-01-04 06:30:00-05:00,0.2884016249735353
1,2015-01-04 07:00:00-05:00,1.4848053231286942
1,2015-01-04 07:30:00-05:00,4.028808351238672
1,2015-01-04 08:00:00-05:00,2.590400750438438
1,2015-01-04 08:30:00-05:00,2.593769372933608
1,2015-01-04 09:00:00-05:00,1.2338528267087032
1,2015-01-04 09:30:00-05:00,2.738350319934523
1,2015-01-04 10:00:00-05:00,1.7312449539042722
1,2015-01-04 10:30:00-05:00,0.07132146582068678
1,2015-01-04 11:00:00-05:00,1.430332231952324
