1,1-Jan,1.197674992
1,2-Jan,2.582526398
1,3-Jan,1.399210933
1,4-Jan,1.877912115
1,5-Jan,1.413919448
1,6-Jan,2.521180218
1,7-Jan,2.351114321
1,8-Jan,2.860696744
1,9-Jan,1.851679722
1,10-Jan,1.977998522
1,11-Jan,1.895163295
1,12-Jan,1.278511545
1,13-Jan,1.635912235
1,14-Jan,2.33515491
1,15-Jan,2.037535813
1,16-Jan,2.953143084
1,17-Jan,1.680615937
1,18-Jan,2.388020462
1,19-Jan,2.256763809
1,20-Jan,1.248975426
1,21-Jan,2.725300338
1,22-Jan,2.992269575
1,23-Jan,1.354092863
1,24-Jan,1.293209836
1,25-Jan,1.292352664
1,26-Jan,2.457819686
1,27-Jan,2.931939437
1,28-Jan,2.934104499
1,29-Jan,1.056494377
1,30-Jan,2.526742124
